Gene,Day -4,Day -3,Day -2,Day -1,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 13
CPSF3,1.8894,1.18519,1.25988,0.382044,0.411547,-0.21846,0.263185,0.341894,0.181618,-0.358365,-0.24139,-0.966405,-1.21789,-1.53192,-1.38034
CRBN,1.44453,1.59569,0.266058,1.52626,0.993845,0.441008,-0.512233,-0.514626,-0.665254,-0.458839,-0.622264,-1.42273,-0.565374,-0.145092,-1.36097
CREB3,1.79215,0.898293,1.38982,0.662898,0.139711,0.314758,0.400396,0.386381,0.139526,-0.324871,-0.873724,-1.17969,-1.2917,-1.56052,-0.893437
CREM,1.20598,1.56683,0.94059,1.24432,0.873593,0.753237,-0.504781,-0.56088,-0.298674,-0.640258,-0.132727,-0.84337,-1.56223,-1.07049,-0.971147
CST7,1.05199,1.14208,1.40253,1.24072,0.80708,0.621932,0.474571,-0.400862,-0.365807,-0.463988,-0.998324,-1.15079,-1.25803,-1.36311,-0.740008
CSTF3,2.26984,1.0101,1.12626,0.200738,0.248479,-0.445325,0.145954,0.18366,-0.0988112,-0.112143,-0.343752,-0.675186,-1.15529,-2.04349,-0.311033
CTNNB1,0.768133,1.48314,1.28423,0.535329,1.208,0.830391,0.354262,-0.850242,-0.485569,-0.326059,-0.457034,-0.741769,-1.34024,-1.77166,-0.490914
CTR9,2.12189,0.752412,1.24958,0.572813,0.394991,0.306089,0.309432,0.259941,-0.126846,-0.588667,-0.481195,-0.717698,-1.31174,-1.22483,-1.51617
CTSLP2,2.17038,0.814774,1.3125,0.785742,0.183362,0.121948,-0.70706,-0.281423,-0.242829,-0.355272,-0.894935,-0.224863,-0.131593,-0.453537,-2.0972
CUL1,2.02987,1.38517,1.25941,0.564971,0.586592,0.192067,0.0508498,-0.109381,-0.386762,-0.797695,-0.663948,-0.85573,-1.27146,-1.23326,-0.750689
CUTA,2.10333,1.05617,1.31176,0.433917,0.32478,0.221517,-0.136266,0.296437,0.0972813,-0.294514,-0.932575,-1.09056,-1.21473,-1.46974,-0.706819
CWC22,1.90586,1.22539,0.982227,1.00305,0.400323,0.0333525,0.0472132,0.372099,-0.483631,-0.519587,-0.301033,-0.96998,-0.655795,-1.58503,-1.45446
CWF19L2,2.23221,2.17638,0.278114,0.0117248,-0.648238,-0.755912,-1.34678,-0.127554,-0.30763,0.153387,0.384476,-0.37519,-0.624346,-0.653731,-0.396906
